Date,Open,High,Low,Close,Adj Close,Volume
2014-10-06,64.690002,64.910004,63.849998,64.110001,59.382416,8287500
2014-10-07,63.980000,64.010002,63.090000,63.090000,58.437637,11281800
2014-10-08,63.220001,64.750000,63.060001,64.699997,59.928902,11412300
2014-10-09,64.599998,64.669998,63.320000,63.360001,58.687717,15686000
2014-10-10,63.290001,64.059998,62.970001,62.970001,58.326481,15606800
2014-10-13,63.000000,63.029999,61.410000,61.480000,56.946350,17937500
2014-10-14,61.849998,62.060001,60.599998,61.020000,56.520279,19321000
2014-10-15,60.330002,60.790001,59.209999,60.520000,56.057137,32120100
2014-10-16,59.700001,60.919998,59.450001,60.209999,55.769993,30185000
2014-10-17,60.790001,61.560001,60.650002,61.169998,56.659218,15704700
2014-10-20,60.970001,61.959999,60.970001,61.910000,57.344643,9848900
2014-10-21,62.430000,63.590000,62.369999,63.549999,58.863708,14961400
2014-10-22,63.570000,63.730000,63.049999,63.230000,58.567303,13813800
2014-10-23,63.730000,64.660004,63.730000,64.309998,59.567669,11165000
2014-10-24,64.489998,65.239998,64.349998,65.209999,60.401299,9703500
2014-10-27,65.220001,65.349998,64.989998,65.279999,60.466133,9110800
2014-10-28,65.800003,65.800003,65.180000,65.760002,60.910740,8770600
2014-10-29,65.739998,65.970001,65.349998,65.790001,60.938519,10162400
2014-10-30,65.690002,67.040001,65.629997,67.000000,62.059296,11630600
2014-10-31,67.860001,67.989998,67.050003,67.269997,62.309395,11388000
2014-11-03,67.370003,67.459999,66.870003,67.349998,62.383465,8680700
2014-11-04,67.330002,67.540001,66.949997,67.360001,62.392738,5716000
2014-11-05,67.970001,67.989998,67.129997,67.290001,62.327919,6592100
2014-11-06,67.379997,67.849998,67.379997,67.699997,62.707684,7962400
2014-11-07,67.699997,67.760002,66.820000,67.029999,62.087082,13895600
2014-11-10,67.180000,67.739998,66.919998,67.709999,62.716934,5455300
2014-11-11,67.860001,68.209999,67.690002,67.959999,62.948505,9777500
2014-11-12,67.699997,67.970001,67.589996,67.860001,62.855896,3879900
2014-11-13,67.959999,68.199997,67.489998,67.809998,62.809566,5216600
2014-11-14,67.790001,67.790001,66.980003,67.250000,62.290859,6331800
2014-11-17,67.110001,67.760002,67.110001,67.580002,62.596523,8587200
2014-11-18,67.629997,68.720001,67.570000,68.669998,63.606148,8240100
2014-11-19,68.589996,68.629997,68.110001,68.290001,63.254173,6253600
2014-11-20,67.989998,68.269997,67.779999,68.000000,62.985558,9041600
2014-11-21,68.680000,68.820000,68.129997,68.320000,63.281967,8098700
2014-11-24,68.589996,68.680000,68.449997,68.669998,63.606148,5020100
2014-11-25,68.809998,68.970001,68.489998,68.760002,63.689514,5510200
2014-11-26,68.989998,69.209999,68.720001,69.180000,64.078560,5325900
2014-11-28,69.250000,69.989998,69.250000,69.610001,64.476822,4395500
2014-12-01,69.360001,69.940002,69.269997,69.440002,64.319374,8537400
2014-12-02,69.690002,70.309998,69.690002,70.209999,65.032585,7444800
2014-12-03,70.370003,70.430000,70.050003,70.320000,65.134468,6577000
2014-12-04,70.199997,70.610001,69.959999,70.230003,65.051102,4235400
2014-12-05,70.279999,70.849998,70.209999,70.790001,65.569817,8325100
2014-12-08,70.699997,71.430000,70.699997,71.040001,65.801392,5942800
2014-12-09,70.220001,70.809998,69.809998,70.739998,65.523499,9776300
2014-12-10,70.690002,70.730003,69.599998,69.650002,64.513885,9011200
2014-12-11,69.910004,70.669998,69.690002,69.849998,64.699135,7383300
2014-12-12,69.459999,69.860001,68.720001,68.779999,63.708042,10438600
2014-12-15,69.190002,69.209999,67.910004,68.150002,63.124477,17776200
2014-12-16,67.860001,69.019997,67.320000,67.360001,62.392738,14735600
2014-12-17,67.440002,68.790001,67.309998,68.620003,63.559845,17776200
2014-12-18,69.430000,70.510002,69.279999,70.500000,65.301208,16048100
2014-12-19,70.500000,70.930000,70.019997,70.410004,65.459244,17822000
2014-12-22,70.000000,70.120003,69.389999,69.739998,64.836357,9896600
2014-12-23,69.900002,69.949997,67.779999,68.139999,63.348858,22190400
