"","x"
"[VLO].ar1",1.00000000665391
"[VLO].omega",1.43033154730788e-06
"[VLO].alpha1",0.02104742885362
"[VLO].beta1",0.97248820114367
"[VOD].mu",0.00876641988692488
"[VOD].ar1",1.00000000934217
"[VOD].omega",7.18749010311083e-07
"[VOD].alpha1",0.0118538912422754
"[VOD].beta1",0.983698083125198
"[ADBE].mu",-0.00640231710010563
"[ADBE].ar1",0.999474251576409
"[ADBE].omega",7.00335765825671e-05
"[ADBE].alpha1",0.603691808019535
"[ADBE].beta1",0.0619236974585893
"[AEE].mu",0.00562551130559284
"[AEE].ar1",0.999999083857186
"[AEE].omega",2.3584110691428e-06
"[AEE].alpha1",0.0859063439280485
"[AEE].beta1",0.823738235621759
"[CCL].mu",-0.0360546860424254
"[CCL].ar1",0.998929381225122
"[CCL].omega",0.000143020322499564
"[CCL].alpha1",0.0832725945803647
"[CCL].beta1",3.51987174271514e-09
"[CF].mu",0.0570495186720252
"[CF].ar1",0.998315313463641
"[CF].omega",3.01829682063583e-06
"[CF].alpha1",0.00993385682497592
"[CF].beta1",0.982817206801604
"[CMCSA].mu",0.0109542916321475
"[CMCSA].ar1",0.9989747117013
"[CMCSA].omega",1.56881437697769e-06
"[CMCSA].alpha1",0.0356925820391217
"[CMCSA].beta1",0.950157265292083
"[CMI].mu",-0.0188568592636899
"[CMI].ar1",0.996549833194087
"[CMI].omega",1.17164209477032e-05
"[CMI].alpha1",0.00617331328936563
"[CMI].beta1",0.880271356491086
"[DTE].mu",0.00394859675388962
"[DTE].ar1",0.99993250631189
"[DTE].omega",1.51219673211605e-06
"[DTE].alpha1",0.0279038961083115
"[DTE].beta1",0.884507066519086
"[DUK].mu",0.00202203909170669
"[DUK].ar1",0.998963601141952
"[DUK].omega",2.7726831571213e-07
"[DUK].alpha1",0.0451966420163156
"[DUK].beta1",0.939564205994018
"[F].mu",-0.0107347968537416
"[F].ar1",0.999999977216603
"[F].omega",5.01917783494417e-05
"[F].alpha1",0.0888122565447533
"[F].beta1",0.562503425917987
"[FE].mu",0.0017566688299001
"[FE].ar1",0.995437736510796
"[FE].omega",3.68789214620099e-05
"[FE].alpha1",0.1872381939819
